@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445447698,32166.67,32248.22,268.21,268.89,33569.16,373.5,374.45,1703.01,1707.33,16773.3,16815.83,348.91,349.79,371.4,372.34
1445448599,31962.03,31995.35,268.6,268.88,33430.76,370.98,371.36,1704.65,1706.42,16577.47,16594.75,346.03,346.39,366.31,366.69
1445449500,31950.13,31982.26,268.5,268.77,33418.32,370.84,371.21,1704.01,1705.73,16571.3,16587.96,345.9,346.25,366.17,366.54
1445450400,32172.66,32221.84,268.26,268.67,33575.42,373.57,374.14,1703.33,1705.93,16776.43,16802.07,348.97,349.51,371.46,372.03
1445451301,31927.52,32009.63,268.31,269,33394.67,370.58,371.53,1702.81,1707.19,16559.57,16602.16,345.66,346.54,365.91,366.86
1445452202,31923.95,31935.85,268.28,268.38,33390.93,370.53,370.67,1702.62,1703.25,16557.72,16563.89,345.62,345.75,365.87,366.01
1445453102,31925.14,31950.13,268.29,268.5,33392.18,370.55,370.84,1702.68,1704.01,16558.34,16571.3,345.63,345.9,365.89,366.17
1445454003,31965.6,31966.79,268.63,268.64,33434.5,371.02,371.03,1704.84,1704.9,16579.32,16579.94,346.07,346.08,366.35,366.36
1445454904,31996.54,31998.92,268.89,268.91,33466.86,371.38,371.41,1706.49,1706.61,16595.37,16596.6,346.4,346.43,366.71,366.73
1445455805,31947.75,32008.44,268.48,268.99,33415.83,370.81,371.52,1703.89,1707.12,16570.06,16601.54,345.87,346.53,366.15,366.84
1445539043,32714.28,32787.35,273.13,273.74,34318.78,380.24,381.09,1734.81,1738.68,17157.05,17195.36,358,358.8,378.77,379.61
1445540279,32733.45,32793.33,273.29,273.79,34338.89,380.46,381.16,1735.83,1739,17167.1,17198.5,358.21,358.86,378.99,379.68
1445541182,32728.66,32789.74,273.25,273.76,34333.86,380.4,381.11,1735.57,1738.81,17164.58,17196.62,358.16,358.82,378.93,379.64
1445542085,32713.08,32789.74,273.12,273.76,34317.53,380.22,381.11,1734.75,1738.81,17156.42,17196.62,357.99,358.82,378.75,379.64
1445542988,32749.02,32789.74,273.42,273.76,34355.22,380.64,381.11,1736.65,1738.81,17175.26,17196.62,358.38,358.82,379.17,379.64
1445543891,32760.99,32793.33,273.52,273.79,34367.79,380.78,381.16,1737.29,1739,17181.54,17198.5,358.51,358.86,379.31,379.68
