@relation mail

@attribute time real
@attribute html real
@attribute text real
@attribute nonmultipart real
@attribute multipart_text real
@attribute multipart_nontext real
@attribute url real
@attribute urlper real
@attribute spam_word real
@attribute spam_f real
@attribute nonspam real
@attribute spam real

@data
1241103600,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,2,2
1241190000,0,8,4,4,0,104,0.39992872,0.06843696,32.44433048,4,4
1241276400,0,2,1,1,0,26,0.09998218,0.01710924,8.11108262,1,1
1241362800,0,5,1,4,0,65,0.24995545,0.0427731,20.27770655,1,4
1241449200,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1241535600,1,5,1,5,0,78,0.29994654,0.05132772,24.33324786,2,4
1241622000,1,1,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1241708400,1,7,3,5,0,104,0.39992872,0.06843696,32.44433048,4,4
1241794800,2,4,4,2,0,78,0.29994654,0.05132772,24.33324786,4,2
1241881200,1,2,0,3,0,39,0.14997327,0.02566386,12.16662393,0,3
1241967600,1,4,1,4,0,65,0.24995545,0.0427731,20.27770655,1,4
1242054000,1,9,5,5,0,130,0.4999109,0.0855462,40.5554131,4,6
1242140400,1,6,6,1,0,91,0.34993763,0.05988234,28.38878917,6,1
1242226800,0,8,5,3,0,104,0.39992872,0.06843696,32.44433048,5,3
1242313200,1,9,5,5,0,130,0.4999109,0.0855462,40.5554131,5,5
1242399600,0,4,3,1,0,52,0.19996436,0.03421848,16.22216524,3,1
1242486000,0,6,0,6,0,78,0.29994654,0.05132772,24.33324786,0,6
1242572400,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1242658800,0,6,4,2,0,78,0.29994654,0.05132772,24.33324786,3,3
1242745200,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1242831600,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1242918000,1,4,4,1,0,65,0.24995545,0.0427731,20.27770655,4,1
1243004400,1,8,2,7,0,117,0.44991981,0.07699158,36.49987179,3,6
1243090800,1,5,4,2,0,78,0.29994654,0.05132772,24.33324786,2,4
1243177200,0,2,1,1,0,26,0.09998218,0.01710924,8.11108262,1,1
1243263600,0,6,4,2,0,78,0.29994654,0.05132772,24.33324786,4,2
1243350000,0,9,3,6,0,117,0.44991981,0.07699158,36.49987179,3,6
1243436400,0,6,3,3,0,78,0.29994654,0.05132772,24.33324786,3,3
1243522800,0,9,5,4,0,117,0.44991981,0.07699158,36.49987179,4,5
1243609200,0,7,3,4,0,91,0.34993763,0.05988234,28.38878917,3,4
1243695600,0,4,1,3,0,52,0.19996436,0.03421848,16.22216524,1,3
1243782000,0,3,0,3,0,39,0.14997327,0.02566386,12.16662393,0,3
1243868400,0,5,2,3,0,65,0.24995545,0.0427731,20.27770655,2,3
1243954800,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1244041200,1,9,4,6,0,130,0.4999109,0.0855462,40.5554131,5,5
1244127600,0,6,1,5,0,78,0.29994654,0.05132772,24.33324786,1,5
1244214000,0,10,5,5,0,130,0.4999109,0.0855462,40.5554131,4,6
1244300400,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1244386800,1,5,1,5,0,78,0.29994654,0.05132772,24.33324786,2,4
1244473200,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1244559600,0,11,8,3,0,143,0.54990199,0.09410082,44.61095441,8,3
1244646000,1,4,2,3,0,65,0.24995545,0.0427731,20.27770655,3,2
1244732400,2,3,1,4,0,65,0.24995545,0.0427731,20.27770655,2,3
1244818800,1,5,1,5,0,78,0.29994654,0.05132772,24.33324786,2,4
1244905200,0,7,2,5,0,91,0.34993763,0.05988234,28.38878917,2,5
1244991600,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1245078000,0,7,3,4,0,91,0.34993763,0.05988234,28.38878917,3,4
1245164400,0,12,4,8,0,156,0.59989308,0.10265544,48.66649572,4,8
1245250800,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,2,2
1245337200,2,7,3,6,0,117,0.44991981,0.07699158,36.49987179,5,4
1245423600,0,9,1,8,0,117,0.44991981,0.07699158,36.49987179,1,8
1245510000,0,4,1,3,0,52,0.19996436,0.03421848,16.22216524,0,4
1245596400,1,4,1,4,0,65,0.24995545,0.0427731,20.27770655,2,3
1245682800,0,7,3,4,0,91,0.34993763,0.05988234,28.38878917,2,5
1245769200,0,8,4,4,0,104,0.39992872,0.06843696,32.44433048,4,4
1245855600,0,7,3,4,0,91,0.34993763,0.05988234,28.38878917,3,4
1245942000,1,10,4,7,0,143,0.54990199,0.09410082,44.61095441,4,7
1246028400,0,9,3,6,0,117,0.44991981,0.07699158,36.49987179,3,6
1246114800,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1246201200,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1246287600,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1246374000,0,8,6,2,0,104,0.39992872,0.06843696,32.44433048,6,2
1246460400,0,6,4,2,0,78,0.29994654,0.05132772,24.33324786,4,2
1246546800,1,4,3,2,0,65,0.24995545,0.0427731,20.27770655,4,1
1246633200,1,4,2,3,0,65,0.24995545,0.0427731,20.27770655,3,2
1246719600,0,1,1,0,0,13,0.04999109,0.00855462,4.05554131,1,0
1246806000,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,1,3
1246892400,1,7,6,2,0,104,0.39992872,0.06843696,32.44433048,6,2
1246978800,0,11,8,3,0,143,0.54990199,0.09410082,44.61095441,7,4
1247065200,1,6,4,3,0,91,0.34993763,0.05988234,28.38878917,3,4
1247151600,2,5,4,3,0,91,0.34993763,0.05988234,28.38878917,5,2
1247238000,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1247324400,1,2,0,3,0,39,0.14997327,0.02566386,12.16662393,1,2
1247410800,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1247497200,0,8,4,4,0,104,0.39992872,0.06843696,32.44433048,4,4
1247583600,0,6,5,1,0,78,0.29994654,0.05132772,24.33324786,5,1
1247670000,2,5,5,2,0,91,0.34993763,0.05988234,28.38878917,6,1
1247756400,2,9,5,6,0,143,0.54990199,0.09410082,44.61095441,7,4
1247842800,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1247929200,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1248015600,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1248102000,0,2,1,1,0,26,0.09998218,0.01710924,8.11108262,1,1
1248188400,0,6,3,3,0,78,0.29994654,0.05132772,24.33324786,3,3
1248274800,0,8,6,2,0,104,0.39992872,0.06843696,32.44433048,6,2
1248361200,0,7,1,6,0,91,0.34993763,0.05988234,28.38878917,1,6
1248447600,0,2,1,1,0,26,0.09998218,0.01710924,8.11108262,1,1
1248534000,0,3,0,3,0,39,0.14997327,0.02566386,12.16662393,0,3
1248620400,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1248706800,1,7,4,4,0,104,0.39992872,0.06843696,32.44433048,4,4
1248793200,0,6,5,1,0,78,0.29994654,0.05132772,24.33324786,5,1
1248879600,1,8,8,1,0,117,0.44991981,0.07699158,36.49987179,8,1
1248966000,1,6,3,4,0,91,0.34993763,0.05988234,28.38878917,4,3
1249052400,1,5,3,3,0,78,0.29994654,0.05132772,24.33324786,4,2
1249138800,0,5,0,5,0,65,0.24995545,0.0427731,20.27770655,0,5
1249225200,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1249311600,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1249398000,0,7,5,2,0,91,0.34993763,0.05988234,28.38878917,4,3
1249484400,1,4,5,0,0,65,0.24995545,0.0427731,20.27770655,5,0
1249570800,1,5,2,4,0,78,0.29994654,0.05132772,24.33324786,3,3
1249657200,1,8,4,5,0,117,0.44991981,0.07699158,36.49987179,5,4
1249743600,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1249830000,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1249916400,1,4,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1250002800,0,6,4,2,0,78,0.29994654,0.05132772,24.33324786,4,2
1250089200,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,1,3
1250175600,1,5,4,2,0,78,0.29994654,0.05132772,24.33324786,2,4
1250262000,1,6,1,6,0,91,0.34993763,0.05988234,28.38878917,1,6
1250348400,0,4,1,3,0,52,0.19996436,0.03421848,16.22216524,0,4
1250434800,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1250521200,0,1,1,0,0,13,0.04999109,0.00855462,4.05554131,1,0
1250607600,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
