@relation mail

@attribute IP real
@attribute TIME real
@attribute Message-ID real
@attribute Subject real
@attribute From real
@attribute text_type {HTML, text}
@attribute multipart {non-multipart, multipart_text, multipart_non-text}
@attribute url real
@attribute url_per real
@attribute spam_word_per real
@attribute spam_f real
@attribute spam {non-spam, spam}

@data
41269,1231167600,0,21990,30237,text,multipart_text,2,0.01800000,0.13650000,32.15777508,spam
41830,1231167600,15,22074,30824,text,non-multipart,8,0.10624123,0.10308555,8.60413155,non-spam
40306,1231167600,4,22362,30632,text,multipart_text,2,0.05204021,0.21998817,16.60460194,spam
41172,1231167600,0,21903,30461,text,multipart_text,2,0.03572948,0.10974054,14.33213124,spam
41903,1231167681,8,22382,30886,text,non-multipart,27,0.08798225,0.05353723,48.17137705,non-spam
41861,1231178012,14,22020,30707,text,non-multipart,8,0.03285983,0.10474072,36.69636627,non-spam
40090,1231186265,0,20655,30446,text,non-multipart,6,0.07034483,0.06620690,5.62306456,non-spam
40054,1231188607,0,20787,30449,text,non-multipart,5,0.09671993,0.13120269,7.93579240,non-spam
41111,1231205400,0,20447,30414,text,multipart_text,4,0.06320542,0.13950339,13.69691506,spam
41111,1231210399,0,20448,30414,text,multipart_text,4,0.06320542,0.13950339,13.69691506,spam
41658,1231210810,0,21358,30549,text,multipart_text,2,0.03120357,0.05794948,7.09388107,spam
40859,1231211772,0,20490,30277,text,multipart_text,4,0.03150433,0.10947755,13.16686919,spam
41251,1231220514,4,22015,30264,text,multipart_text,2,0.01951673,0.06064126,10.10673827,spam
40159,1231220514,4,20613,30105,text,multipart_text,3,0.04603581,0.11125320,7.82015601,spam
40675,1231231292,4,20088,30126,text,multipart_text,4,0.09756098,0.11308204,9.61154012,spam
41896,1231254000,17,21806,30920,text,non-multipart,13,0.05373612,0.08893281,23.60593469,non-spam
41901,1231254000,11,21363,30394,text,non-multipart,22,0.09478022,0.11038069,38.15389440,non-spam
40370,1231254000,4,20396,30621,text,multipart_text,2,0.03123838,0.05801413,7.09388107,spam
41770,1231254000,13,22102,30579,text,multipart_text,1,0.01020669,0.12171472,24.70698914,spam
40049,1231258868,0,20829,30449,text,non-multipart,5,0.09774756,0.11092223,7.06753949,non-spam
41139,1231262473,10,21863,30666,text,multipart_text,4,0.09756098,0.11308204,9.61154012,spam
